"Ranking","Image","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"184","https://static-cdn.jtvnw.net/jtv_user_pictures/f6365010-0ecb-4b3a-9bd9-8e605f00884c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheKAIRI78","206169105","55260","22116","3730","1709150","321304","true","false","French","TheKAIRI78"
"185","https://static-cdn.jtvnw.net/jtv_user_pictures/1c677808-5074-4711-aebe-c52ef852bf82-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","BENIJU03","117100035","38805","13357","3017","1706868","322706","true","false","Spanish","BENIJU03"
"186","https://static-cdn.jtvnw.net/jtv_user_pictures/ce51a4e2-ed9a-41db-add1-38eaa8e830b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Call of Duty (callofduty)","1029759495","22305","164417","46167","1706832","632805","true","false","English","Call of Duty (callofduty)"
"187","https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Papaplatte","794049315","74490","56209","10659","1705002","142334","true","false","German","Papaplatte"
"188","https://static-cdn.jtvnw.net/jtv_user_pictures/f56057ef-57ab-4ac0-a010-97a7d14981fe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_thurzin","71323020","43950","31843","1622","1704127","179032","true","false","Portuguese","loud_thurzin"
"189","https://static-cdn.jtvnw.net/jtv_user_pictures/83cfe641-5345-44a3-ab0b-6b7a86238eee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","broxh_","12548400","52740","7384","237","1703547","136412","true","false","English","broxh_"
"190","https://static-cdn.jtvnw.net/jtv_user_pictures/forsen-profile_image-48b43e1e4f54b5c8-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","forsen","1362434070","124095","40472","10978","1702211","102750","true","true","English","forsen"
"191","https://static-cdn.jtvnw.net/jtv_user_pictures/9e894c05-6131-4414-bf01-a65e9f88b13a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AustinShow","155275815","4455","101646","34854","1688470","133261","true","false","English","AustinShow"
"192","https://static-cdn.jtvnw.net/jtv_user_pictures/c29eaa98-b316-4934-9910-502b2f027737-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Doigby","76702770","27735","28047","2765","1687861","128419","true","false","French","Doigby"
"193","https://static-cdn.jtvnw.net/jtv_user_pictures/af40d3c1-0dee-4af5-a431-468a6fc4280f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JoshOG","45606090","82185","3481","554","1683687","-32491","true","false","English","JoshOG"
"194","https://static-cdn.jtvnw.net/jtv_user_pictures/70d29536-3b69-4731-8c97-8f5475a8fbf6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mithrain","338000790","94725","42563","3568","1682498","115790","true","false","Turkish","Mithrain"
"195","https://static-cdn.jtvnw.net/jtv_user_pictures/c2b4e3fa-f82b-4d1b-9731-1b48c1bc59ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Shadoune666","280443270","143895","690360","1948","1674311","1096921","true","false","Spanish","Shadoune666"
"196","https://static-cdn.jtvnw.net/jtv_user_pictures/815553a9-267a-439b-b5e9-576a37138a6a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZanoXVII","467228205","71940","43030","6494","1667073","188339","true","false","Italian","ZanoXVII"
"197","https://static-cdn.jtvnw.net/jtv_user_pictures/bce876db-0749-4933-be0b-84d62a2a8338-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ShahZaM","676693560","135180","27202","5005","1659747","271892","true","false","English","ShahZaM"
"198","https://static-cdn.jtvnw.net/jtv_user_pictures/04b097ac-9a71-409e-b30e-570175b39caf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LCK","1404487605","38310","307586","36661","1655449","258788","true","false","English","LCK"
"199","https://static-cdn.jtvnw.net/jtv_user_pictures/rakanoolive-profile_image-9c0623ad417c5508-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RakanooLive","154047390","106740","7420","1443","1653554","47096","true","false","Arabic","RakanooLive"
"200","https://static-cdn.jtvnw.net/jtv_user_pictures/jesusavgn-profile_image-ef60f6d58af4ccef-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","JesusAVGN","709903230","79830","36467","8892","1643818","260448","true","false","Russian","JesusAVGN"
"201","https://static-cdn.jtvnw.net/jtv_user_pictures/21ca8a68-3036-4366-8e0f-4844359e0a53-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","komanche","108021855","97380","24986","1109","1643616","731439","true","false","Spanish","komanche"
"202","https://static-cdn.jtvnw.net/jtv_user_pictures/33dbff79-0079-438e-946f-3b9773f25602-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NateHill","65398485","91845","18701","712","1642803","8407","true","false","English","NateHill"
"203","https://static-cdn.jtvnw.net/jtv_user_pictures/3cdae7df-600c-4833-8dfe-8d2abc5a3b25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Domingo","929153835","51630","200282","17996","1640781","274224","true","false","French","Domingo"
"204","https://static-cdn.jtvnw.net/jtv_user_pictures/4eadab7a-eb89-4205-b89f-6da0b2c2bf36-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TinaKitten","205872540","27480","36160","7491","1630502","518085","true","false","English","TinaKitten"
"205","https://static-cdn.jtvnw.net/jtv_user_pictures/e4c8d60e-a8d2-4c67-ab1b-b9a985bd10b7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NeonSniperPanda","9885420","28665","5507","344","1623304","23349","true","false","English","NeonSniperPanda"
"206","https://static-cdn.jtvnw.net/jtv_user_pictures/faceittv-profile_image-45e9e95c0f48f50e-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FACEIT TV (faceittv)","3681045","1500","3158","2454","1616724","-1304","true","false","English","FACEIT TV (faceittv)"
"207","https://static-cdn.jtvnw.net/jtv_user_pictures/4d2e7f32-73cb-47bd-8152-ca60811dffa6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Rakin","372913395","149685","17648","2491","1615307","69137","true","false","Portuguese","Rakin"
"208","https://static-cdn.jtvnw.net/jtv_user_pictures/a1572830-acfe-4cd7-8cfe-02a10c41b44d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tommyinnitalt","5243325","570","19384","9198","1613015","61559","true","false","English","tommyinnitalt"
"209","https://static-cdn.jtvnw.net/jtv_user_pictures/eleaguetv-profile_image-3944326c25ed471d-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ELEAGUE TV (eleaguetv)","475560","2520","437","188","1610655","-22974","true","false","English","ELEAGUE TV (eleaguetv)"
"210","https://static-cdn.jtvnw.net/jtv_user_pictures/1912ddb4-0963-40d1-a529-a96807ec2a8e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","natalan","175921530","116220","12264","1513","1607368","265421","true","false","Spanish","natalan"
"211","https://static-cdn.jtvnw.net/jtv_user_pictures/29dcfdea-dbc7-49e8-919e-59da28669ead-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Greekgodx","182774430","78720","18378","2321","1607188","112583","true","true","English","Greekgodx"
"212","https://static-cdn.jtvnw.net/jtv_user_pictures/f16985d4-df35-4cb9-ae59-d2dcc1905153-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gemita","49958055","59085","6253","845","1603522","67444","true","false","Spanish","Gemita"
"213","https://static-cdn.jtvnw.net/jtv_user_pictures/8d3ad1f3-2262-4446-943d-fe7165710b05-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","blackoutz","391265985","509895","21584","767","1594659","171773","true","false","Portuguese","blackoutz"
"214","https://static-cdn.jtvnw.net/jtv_user_pictures/742c88f7-b83a-4fba-964b-6f713ed41adb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MarkiLokurasY","117159600","121860","26400","961","1594023","106207","true","false","Spanish","MarkiLokurasY"
"215","https://static-cdn.jtvnw.net/jtv_user_pictures/8bd07ef046330084-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Scarra","303737460","129030","30140","2354","1593349","61987","true","false","English","Scarra"
"216","https://static-cdn.jtvnw.net/jtv_user_pictures/791ac228-58c4-4700-beed-86e48132d554-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Carola","573614085","103335","69680","5551","1586667","708594","true","false","Spanish","Carola"
"217","https://static-cdn.jtvnw.net/jtv_user_pictures/623bbde8-b3d6-4084-8056-7210ca0d3c33-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Loeya","255763020","125985","7095","2030","1583988","78021","true","false","English","Loeya"
"218","https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","2236924950","135330","419458","16529","1577707","471576","true","false","French","Kamet0"
"219","https://static-cdn.jtvnw.net/jtv_user_pictures/sovietwomble-profile_image-03dc5cfecd429f93-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SovietWomble","153642645","71730","5121","2141","1577458","31948","true","true","English","SovietWomble"
"220","https://static-cdn.jtvnw.net/jtv_user_pictures/8293c341-9a4a-4052-98b4-049781ae2cc0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CBLOL","1566247980","52065","173492","30082","1564637","136481","true","false","Portuguese","CBLOL"
"221","https://static-cdn.jtvnw.net/jtv_user_pictures/07bc82ee-1bf8-43e0-bb18-6eaf410a20a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GermanGarmendia","40854675","1620","65632","25218","1561365","963777","true","false","Spanish","GermanGarmendia"
"222","https://static-cdn.jtvnw.net/jtv_user_pictures/389e1f84-2609-4da6-8503-927bdd3cfbfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","eldemente","24832065","8730","10490","2844","1554467","59775","true","false","Spanish","eldemente"
"223","https://static-cdn.jtvnw.net/jtv_user_pictures/711ddcfc-e6b3-430b-84f3-be5ce9b87f9c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CaptainPuffy","78695550","30180","18645","2607","1549991","-5495","true","false","English","CaptainPuffy"
"224","https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GRONKH","1290296610","66195","50053","19492","1548527","95471","true","true","German","GRONKH"
"225","https://static-cdn.jtvnw.net/jtv_user_pictures/3df303bb-f848-4947-a2e8-c66b6ad99696-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bakzera","69272100","43710","6044","1584","1540175","67981","true","false","Portuguese","bakzera"
"226","https://static-cdn.jtvnw.net/jtv_user_pictures/elotrix-profile_image-68e89e930904b2e6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ELoTRiX","431206125","66555","38094","6478","1540147","166092","true","true","German","ELoTRiX"
"227","https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","FolagorLives","414089040","138315","21919","2993","1538879","114881","true","false","Spanish","FolagorLives"
"228","https://static-cdn.jtvnw.net/jtv_user_pictures/63fdc922-0a96-4c99-93cc-48f508be85a3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElcanaldeJoaco","56055600","33945","6200","1651","1538424","60181","true","true","Spanish","ElcanaldeJoaco"
"229","https://static-cdn.jtvnw.net/jtv_user_pictures/92823118-9c3f-4325-bf37-0ddfda074f2c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SwaggerSouls","11254050","6495","6632","1732","1536241","13268","true","true","English","SwaggerSouls"
"230","https://static-cdn.jtvnw.net/jtv_user_pictures/ad9d3702-8644-4172-9372-e90e7a0eeeff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PGL","1135182300","15480","608041","73332","1535147","348466","true","false","English","PGL"
"231","https://static-cdn.jtvnw.net/jtv_user_pictures/ef74f8ca-000b-41a4-9c90-b3508d6099b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Amar","624781965","139935","116033","4464","1532418","186313","true","false","German","Amar"
"232","https://static-cdn.jtvnw.net/jtv_user_pictures/05529c10f7dfbf81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trick2g","140601780","117330","10502","1198","1526914","9183","true","true","English","Trick2g"
"233","https://static-cdn.jtvnw.net/jtv_user_pictures/8eda8b0b-4ab4-4939-a2aa-0b3c2cdeac79-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ScreaM","60614820","8040","38579","7539","1525578","166382","true","true","French","ScreaM"
"234","https://static-cdn.jtvnw.net/jtv_user_pictures/cfd8ef84-20c3-4809-ace2-dc44788e7046-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Bjergsenlol","30840345","5925","13618","5205","1514130","-583","true","false","English","Bjergsenlol"
